,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
10376,R. Salinas,31,Argentina,65,65,Ettifaq FC,ST,57.0,44.0,43.0,60.0,51.0,57.0,42.0,44.0,51.0,43.0,60.0,55.0,64.0,57.0,43.0,57.0,42.0,44.0,51.0,43.0,60.0,55.0,64.0,57.0,43.0,64.0
7894,C. Soukou,24,Germany,67,73,FC Erzgebirge Aue,ST,65.0,42.0,48.0,65.0,59.0,65.0,49.0,42.0,59.0,48.0,65.0,66.0,64.0,66.0,52.0,65.0,49.0,42.0,59.0,48.0,65.0,66.0,64.0,66.0,52.0,64.0
10786,S. Deliktaş,30,Turkey,65,65,Kardemir Karabükspor,ST,60.0,35.0,39.0,63.0,53.0,60.0,41.0,35.0,53.0,39.0,63.0,61.0,64.0,62.0,44.0,60.0,41.0,35.0,53.0,39.0,63.0,61.0,64.0,62.0,44.0,64.0
10783,D. Marsura,23,Italy,65,69,F.B.C. Unione Venezia,ST,62.0,42.0,45.0,63.0,55.0,62.0,47.0,42.0,55.0,45.0,63.0,63.0,64.0,65.0,50.0,62.0,47.0,42.0,55.0,45.0,63.0,63.0,64.0,65.0,50.0,64.0
10775,C. Valoyes,33,Colombia,65,65,Patriotas Boyacá FC,ST,62.0,39.0,45.0,63.0,56.0,62.0,46.0,39.0,56.0,45.0,63.0,63.0,64.0,63.0,48.0,62.0,46.0,39.0,56.0,45.0,63.0,63.0,64.0,63.0,48.0,64.0
10773,C. Bassogog,21,Cameroon,65,72,,ST,62.0,40.0,44.0,64.0,54.0,62.0,47.0,40.0,54.0,44.0,64.0,64.0,64.0,65.0,50.0,62.0,47.0,40.0,54.0,44.0,64.0,64.0,64.0,65.0,50.0,64.0
10768,J. Caenepeel,20,Belgium,65,73,Excelsior,ST,62.0,39.0,43.0,64.0,54.0,62.0,47.0,39.0,54.0,43.0,64.0,64.0,64.0,65.0,50.0,62.0,47.0,39.0,54.0,43.0,64.0,64.0,64.0,65.0,50.0,64.0
10767,M. Tounkara,21,Senegal,65,77,Lazio,ST,62.0,50.0,53.0,63.0,59.0,62.0,52.0,50.0,59.0,53.0,63.0,63.0,64.0,63.0,54.0,62.0,52.0,50.0,59.0,53.0,63.0,63.0,64.0,63.0,54.0,64.0
10762,J. Oremo,30,Sweden,65,65,Halmstads BK,ST,59.0,47.0,48.0,61.0,54.0,59.0,47.0,47.0,54.0,48.0,61.0,58.0,64.0,59.0,48.0,59.0,47.0,47.0,54.0,48.0,61.0,58.0,64.0,59.0,48.0,64.0
10756,M. Altıntaş,21,Turkey,65,74,Evkur Yeni Malatyaspor,ST,59.0,45.0,44.0,62.0,52.0,59.0,43.0,45.0,52.0,44.0,62.0,58.0,64.0,60.0,45.0,59.0,43.0,45.0,52.0,44.0,62.0,58.0,64.0,60.0,45.0,64.0
10745,D. Volaš,30,Slovenia,65,65,Sparta Rotterdam,ST,54.0,40.0,38.0,59.0,48.0,54.0,36.0,40.0,48.0,38.0,59.0,52.0,64.0,55.0,37.0,54.0,36.0,40.0,48.0,38.0,59.0,52.0,64.0,55.0,37.0,64.0
10732,C. Long,22,England,65,72,Northampton Town,ST,61.0,40.0,42.0,64.0,54.0,61.0,45.0,40.0,54.0,42.0,64.0,61.0,64.0,63.0,47.0,61.0,45.0,40.0,54.0,42.0,64.0,61.0,64.0,63.0,47.0,64.0
10716,E. Álvarez,28,Paraguay,65,65,CD Once Caldas Manizales,ST,57.0,36.0,38.0,61.0,50.0,57.0,36.0,36.0,50.0,38.0,61.0,55.0,64.0,57.0,38.0,57.0,36.0,36.0,50.0,38.0,61.0,55.0,64.0,57.0,38.0,64.0
10711,N. Đurđić,31,Serbia,65,65,Randers FC,ST,63.0,49.0,53.0,63.0,60.0,63.0,50.0,49.0,60.0,53.0,63.0,63.0,64.0,63.0,52.0,63.0,50.0,49.0,60.0,53.0,63.0,63.0,64.0,63.0,52.0,64.0
10709,R. König,34,Germany,65,65,FSV Zwickau,ST,53.0,45.0,43.0,57.0,50.0,53.0,38.0,45.0,50.0,43.0,57.0,50.0,64.0,52.0,38.0,53.0,38.0,45.0,50.0,43.0,57.0,50.0,64.0,52.0,38.0,64.0
10707,A. Revell,33,England,65,65,Northampton Town,ST,56.0,46.0,46.0,59.0,52.0,56.0,45.0,46.0,52.0,46.0,59.0,57.0,64.0,57.0,47.0,56.0,45.0,46.0,52.0,46.0,59.0,57.0,64.0,57.0,47.0,64.0
10792,A. Díaz,21,Mexico,65,72,Club América,ST,62.0,41.0,45.0,64.0,56.0,62.0,46.0,41.0,56.0,45.0,64.0,63.0,64.0,64.0,48.0,62.0,46.0,41.0,56.0,45.0,64.0,63.0,64.0,64.0,48.0,64.0
10694,Alex Pozo,18,Spain,65,75,Sevilla Atlético,ST,65.0,36.0,42.0,65.0,57.0,65.0,43.0,36.0,57.0,42.0,65.0,64.0,64.0,66.0,46.0,65.0,43.0,36.0,57.0,42.0,65.0,64.0,64.0,66.0,46.0,64.0
10375,T. Elliott,26,England,65,68,Millwall,ST,56.0,46.0,43.0,60.0,49.0,56.0,45.0,46.0,49.0,43.0,60.0,57.0,64.0,59.0,46.0,56.0,45.0,46.0,49.0,43.0,60.0,57.0,64.0,59.0,46.0,64.0
10830,W. Jordán,26,Colombia,65,67,Grupo Desportivo de Chaves,ST,61.0,41.0,48.0,62.0,59.0,61.0,44.0,41.0,59.0,48.0,62.0,60.0,64.0,60.0,46.0,61.0,44.0,41.0,59.0,48.0,62.0,60.0,64.0,60.0,46.0,64.0
6394,B. Bergougnoux,34,France,69,69,Tours FC,ST,68.0,47.0,54.0,66.0,65.0,68.0,52.0,47.0,65.0,54.0,66.0,66.0,64.0,66.0,54.0,68.0,52.0,47.0,65.0,54.0,66.0,66.0,64.0,66.0,54.0,64.0
6465,L. Mendoza,27,Mexico,69,69,Club Tijuana,ST,66.0,53.0,58.0,66.0,63.0,66.0,58.0,53.0,63.0,58.0,66.0,68.0,64.0,68.0,61.0,66.0,58.0,53.0,63.0,58.0,66.0,68.0,64.0,68.0,61.0,64.0
6518,Nuno Rocha,25,Cape Verde,69,73,FC Tosno,ST,68.0,63.0,66.0,67.0,68.0,68.0,63.0,63.0,68.0,66.0,67.0,65.0,64.0,64.0,62.0,68.0,63.0,63.0,68.0,66.0,67.0,65.0,64.0,64.0,62.0,64.0
6666,S. Diarra,33,Mali,68,68,Valenciennes FC,ST,67.0,52.0,57.0,66.0,64.0,67.0,56.0,52.0,64.0,57.0,66.0,67.0,64.0,67.0,58.0,67.0,56.0,52.0,64.0,57.0,66.0,67.0,64.0,67.0,58.0,64.0
11821,J. Kaprof,22,Argentina,64,72,Defensa y Justicia,ST,63.0,41.0,45.0,64.0,56.0,63.0,41.0,41.0,56.0,45.0,64.0,61.0,64.0,62.0,44.0,63.0,41.0,41.0,56.0,45.0,64.0,61.0,64.0,62.0,44.0,64.0
6898,A. Yasin,26,Iraq,68,69,BK Häcken,ST,66.0,42.0,50.0,66.0,61.0,66.0,49.0,42.0,61.0,50.0,66.0,67.0,64.0,68.0,53.0,66.0,49.0,42.0,61.0,50.0,66.0,67.0,64.0,68.0,53.0,64.0
11467,D. Moberg Karlsson,23,Sweden,64,72,IFK Norrköping,ST,61.0,34.0,38.0,65.0,51.0,61.0,43.0,34.0,51.0,38.0,65.0,63.0,64.0,65.0,46.0,61.0,43.0,34.0,51.0,38.0,65.0,63.0,64.0,65.0,46.0,64.0
7509,S. Benrahma,21,Algeria,68,76,La Berrichonne de Châteauroux,ST,67.0,40.0,49.0,67.0,61.0,67.0,49.0,40.0,61.0,49.0,67.0,67.0,64.0,68.0,52.0,67.0,49.0,40.0,61.0,49.0,67.0,67.0,64.0,68.0,52.0,64.0
10892,A. Sevinç,18,Turkey,64,78,Trabzonspor,ST,63.0,38.0,43.0,64.0,55.0,63.0,44.0,38.0,55.0,43.0,64.0,62.0,64.0,64.0,47.0,63.0,44.0,38.0,55.0,43.0,64.0,62.0,64.0,64.0,47.0,64.0
10885,S. Maguire,23,Republic of Ireland,65,74,Preston North End,ST,61.0,33.0,38.0,63.0,52.0,61.0,40.0,33.0,52.0,38.0,63.0,60.0,64.0,62.0,42.0,61.0,40.0,33.0,52.0,38.0,63.0,60.0,64.0,62.0,42.0,64.0
10874,M. Mohsen,28,Egypt,65,65,,ST,57.0,39.0,39.0,61.0,50.0,57.0,40.0,39.0,50.0,39.0,61.0,58.0,64.0,59.0,43.0,57.0,40.0,39.0,50.0,39.0,61.0,58.0,64.0,59.0,43.0,64.0
10872,S. Dražić,24,Serbia,65,69,KV Mechelen,ST,62.0,42.0,44.0,64.0,55.0,62.0,43.0,42.0,55.0,44.0,64.0,60.0,64.0,62.0,46.0,62.0,43.0,42.0,55.0,44.0,64.0,60.0,64.0,62.0,46.0,64.0
10867,F. Soldano,22,Argentina,65,73,Unión de Santa Fe,ST,60.0,39.0,40.0,62.0,53.0,60.0,41.0,39.0,53.0,40.0,62.0,58.0,64.0,60.0,43.0,60.0,41.0,39.0,53.0,40.0,62.0,58.0,64.0,60.0,43.0,64.0
10842,J. Bolingi,23,DR Congo,65,71,Royal Excel Mouscron,ST,59.0,42.0,42.0,62.0,53.0,59.0,43.0,42.0,53.0,42.0,62.0,59.0,64.0,60.0,44.0,59.0,43.0,42.0,53.0,42.0,62.0,59.0,64.0,60.0,44.0,64.0
10837,M. Ogbu,26,Nigeria,65,68,IK Sirius,ST,62.0,48.0,49.0,63.0,57.0,62.0,48.0,48.0,57.0,49.0,63.0,62.0,64.0,63.0,50.0,62.0,48.0,48.0,57.0,49.0,63.0,62.0,64.0,63.0,50.0,64.0
10815,D. Rose,23,England,65,72,Mansfield Town,ST,63.0,40.0,45.0,64.0,57.0,63.0,46.0,40.0,57.0,45.0,64.0,62.0,64.0,63.0,48.0,63.0,46.0,40.0,57.0,45.0,64.0,62.0,64.0,63.0,48.0,64.0
10675,Y. Hasegawa,29,Japan,65,65,Shimizu S-Pulse,ST,62.0,36.0,40.0,64.0,55.0,62.0,37.0,36.0,55.0,40.0,64.0,58.0,64.0,60.0,40.0,62.0,37.0,36.0,55.0,40.0,64.0,58.0,64.0,60.0,40.0,64.0
10807,K. Finnbogason,30,Iceland,65,65,AC Horsens,ST,57.0,41.0,42.0,61.0,51.0,57.0,40.0,41.0,51.0,42.0,61.0,56.0,64.0,58.0,42.0,57.0,40.0,41.0,51.0,42.0,61.0,56.0,64.0,58.0,42.0,64.0
10649,F. Rašić,25,Argentina,65,69,Arsenal Tula,ST,56.0,44.0,43.0,59.0,52.0,56.0,39.0,44.0,52.0,43.0,59.0,51.0,64.0,53.0,40.0,56.0,39.0,44.0,52.0,43.0,59.0,51.0,64.0,53.0,40.0,64.0
10487,G. Melkadze,20,Russia,65,75,FC Tosno,ST,64.0,51.0,54.0,64.0,61.0,64.0,51.0,51.0,61.0,54.0,64.0,64.0,64.0,64.0,53.0,64.0,51.0,51.0,61.0,54.0,64.0,64.0,64.0,64.0,53.0,64.0
10480,J. Proctor,25,England,65,67,Rotherham United,ST,61.0,44.0,46.0,62.0,57.0,61.0,46.0,44.0,57.0,46.0,62.0,61.0,64.0,62.0,49.0,61.0,46.0,44.0,57.0,46.0,62.0,61.0,64.0,62.0,49.0,64.0
10460,R. Reid,28,England,65,65,Exeter City,ST,61.0,44.0,48.0,63.0,57.0,61.0,46.0,44.0,57.0,48.0,63.0,62.0,64.0,62.0,49.0,61.0,46.0,44.0,57.0,48.0,63.0,62.0,64.0,62.0,49.0,64.0
10458,B. Kee,26,Northern Ireland,65,66,Accrington Stanley,ST,60.0,44.0,46.0,61.0,56.0,60.0,43.0,44.0,56.0,46.0,61.0,59.0,64.0,59.0,45.0,60.0,43.0,44.0,56.0,46.0,61.0,59.0,64.0,59.0,45.0,64.0
10457,P. Cutrone,19,Italy,65,80,Milan,ST,60.0,38.0,39.0,62.0,51.0,60.0,39.0,38.0,51.0,39.0,62.0,59.0,64.0,61.0,42.0,60.0,39.0,38.0,51.0,39.0,62.0,59.0,64.0,61.0,42.0,64.0
10423,L. Clarke,32,England,65,65,Sheffield United,ST,59.0,47.0,48.0,61.0,55.0,59.0,44.0,47.0,55.0,48.0,61.0,58.0,64.0,59.0,46.0,59.0,44.0,47.0,55.0,48.0,61.0,58.0,64.0,59.0,46.0,64.0
10422,R. Riski,25,Finland,65,67,SKN St. Pölten,ST,61.0,49.0,49.0,63.0,55.0,61.0,55.0,49.0,55.0,49.0,63.0,62.0,64.0,64.0,55.0,61.0,55.0,49.0,55.0,49.0,63.0,62.0,64.0,64.0,55.0,64.0
10386,C. Chaplin,20,England,65,82,Portsmouth,ST,63.0,44.0,48.0,64.0,57.0,63.0,51.0,44.0,57.0,48.0,64.0,63.0,64.0,65.0,53.0,63.0,51.0,44.0,57.0,48.0,64.0,63.0,64.0,65.0,53.0,64.0
10404,D. Albadoro,28,Italy,65,65,Ternana,ST,61.0,40.0,42.0,62.0,55.0,61.0,42.0,40.0,55.0,42.0,62.0,62.0,64.0,62.0,45.0,61.0,42.0,40.0,55.0,42.0,62.0,62.0,64.0,62.0,45.0,64.0
10660,A. Arrighini,27,Italy,65,66,Cittadella,ST,61.0,35.0,40.0,62.0,55.0,61.0,39.0,35.0,55.0,40.0,62.0,60.0,64.0,61.0,42.0,61.0,39.0,35.0,55.0,40.0,62.0,60.0,64.0,61.0,42.0,64.0
10421,R. Bocalon,28,Italy,65,65,Salernitana,ST,58.0,44.0,46.0,61.0,53.0,58.0,47.0,44.0,53.0,46.0,61.0,58.0,64.0,59.0,48.0,58.0,47.0,44.0,53.0,46.0,61.0,58.0,64.0,59.0,48.0,64.0
10409,I. Azemi,25,Kosovo,65,67,Holstein Kiel,ST,57.0,43.0,44.0,60.0,53.0,57.0,40.0,43.0,53.0,44.0,60.0,57.0,64.0,58.0,42.0,57.0,40.0,43.0,53.0,44.0,60.0,57.0,64.0,58.0,42.0,64.0
10411,F. Margiotta,23,Italy,65,72,FC Lausanne-Sports,ST,60.0,34.0,38.0,63.0,53.0,60.0,36.0,34.0,53.0,38.0,63.0,58.0,64.0,59.0,39.0,60.0,36.0,34.0,53.0,38.0,63.0,58.0,64.0,59.0,39.0,64.0
10415,A. Pavlović,23,Serbia,65,72,FC København,ST,59.0,37.0,40.0,62.0,52.0,59.0,39.0,37.0,52.0,40.0,62.0,58.0,64.0,60.0,42.0,59.0,39.0,37.0,52.0,40.0,62.0,58.0,64.0,60.0,42.0,64.0
10417,K. Guédé,32,Slovakia,65,65,SC Freiburg,ST,58.0,63.0,62.0,60.0,60.0,58.0,59.0,63.0,60.0,62.0,60.0,59.0,64.0,57.0,59.0,58.0,59.0,63.0,60.0,62.0,60.0,59.0,64.0,57.0,59.0,64.0
10488,J. Świerczok,24,Poland,65,71,Zagłębie Lubin,ST,59.0,41.0,41.0,62.0,51.0,59.0,42.0,41.0,51.0,41.0,62.0,58.0,64.0,61.0,43.0,59.0,42.0,41.0,51.0,41.0,62.0,58.0,64.0,61.0,43.0,64.0
8302,S. Michel,26,Germany,67,67,SC Paderborn 07,ST,64.0,42.0,48.0,65.0,58.0,64.0,49.0,42.0,58.0,48.0,65.0,66.0,64.0,66.0,52.0,64.0,49.0,42.0,58.0,48.0,65.0,66.0,64.0,66.0,52.0,64.0
10441,I. Ouédraogo,28,Burkina Faso,65,65,Wolfsberger AC,ST,60.0,38.0,40.0,63.0,51.0,60.0,43.0,38.0,51.0,40.0,63.0,61.0,64.0,63.0,45.0,60.0,43.0,38.0,51.0,40.0,63.0,61.0,64.0,63.0,45.0,64.0
10512,João Pedro,24,Brazil,65,68,Al Fateh,ST,58.0,40.0,40.0,61.0,50.0,58.0,40.0,40.0,50.0,40.0,61.0,57.0,64.0,59.0,42.0,58.0,40.0,40.0,50.0,40.0,61.0,57.0,64.0,59.0,42.0,64.0
10604,J. Kjær,31,Denmark,65,65,Lyngby BK,ST,63.0,39.0,43.0,64.0,54.0,63.0,44.0,39.0,54.0,43.0,64.0,64.0,64.0,65.0,47.0,63.0,44.0,39.0,54.0,43.0,64.0,64.0,64.0,65.0,47.0,64.0
10627,Alex,26,Brazil,65,65,Silkeborg IF,ST,63.0,46.0,49.0,64.0,58.0,63.0,48.0,46.0,58.0,49.0,64.0,62.0,64.0,64.0,51.0,63.0,48.0,46.0,58.0,49.0,64.0,62.0,64.0,64.0,51.0,64.0
10599,Everton,23,Brazil,65,68,CS Marítimo,ST,61.0,40.0,44.0,63.0,56.0,61.0,44.0,40.0,56.0,44.0,63.0,61.0,64.0,61.0,46.0,61.0,44.0,40.0,56.0,44.0,63.0,61.0,64.0,61.0,46.0,64.0
10511,Romário,24,Brazil,65,71,Kalmar FF,ST,59.0,41.0,43.0,61.0,55.0,59.0,41.0,41.0,55.0,43.0,61.0,58.0,64.0,58.0,43.0,59.0,41.0,41.0,55.0,43.0,61.0,58.0,64.0,58.0,43.0,64.0
8163,M. Keita,26,Norway,67,67,New York Red Bulls,ST,65.0,41.0,48.0,66.0,59.0,65.0,49.0,41.0,59.0,48.0,66.0,66.0,64.0,67.0,53.0,65.0,49.0,41.0,59.0,48.0,66.0,66.0,64.0,67.0,53.0,64.0
10614,R. Taylor,29,England,65,65,Plymouth Argyle,ST,61.0,48.0,52.0,62.0,59.0,61.0,48.0,48.0,59.0,52.0,62.0,61.0,64.0,60.0,51.0,61.0,48.0,48.0,59.0,52.0,62.0,61.0,64.0,60.0,51.0,64.0
10591,P. Mullins,25,United States,65,68,D.C. United,ST,57.0,39.0,39.0,62.0,50.0,57.0,38.0,39.0,50.0,39.0,62.0,56.0,64.0,58.0,40.0,57.0,38.0,39.0,50.0,39.0,62.0,56.0,64.0,58.0,40.0,64.0
10644,D. Davydov,22,Russia,65,74,Spartak Moscow,ST,64.0,39.0,45.0,65.0,58.0,64.0,44.0,39.0,58.0,45.0,65.0,64.0,64.0,65.0,48.0,64.0,44.0,39.0,58.0,45.0,65.0,64.0,64.0,65.0,48.0,64.0
10646,Barros,24,Brazil,65,72,Ventforet Kofu,ST,58.0,39.0,41.0,61.0,50.0,58.0,40.0,39.0,50.0,41.0,61.0,55.0,64.0,58.0,42.0,58.0,40.0,39.0,50.0,41.0,61.0,55.0,64.0,58.0,42.0,64.0
10574,E. Keleş,30,Turkey,65,65,Medicana Sivasspor,ST,63.0,54.0,58.0,64.0,62.0,63.0,58.0,54.0,62.0,58.0,64.0,65.0,64.0,65.0,60.0,63.0,58.0,54.0,62.0,58.0,64.0,65.0,64.0,65.0,60.0,64.0
10573,S. Maholli,24,Sweden,65,72,IK Sirius,ST,57.0,36.0,39.0,61.0,50.0,57.0,39.0,36.0,50.0,39.0,61.0,56.0,64.0,58.0,41.0,57.0,39.0,36.0,50.0,39.0,61.0,56.0,64.0,58.0,41.0,64.0
10379,S. Benyamina,27,Germany,65,65,Hansa Rostock,ST,56.0,42.0,41.0,60.0,50.0,56.0,40.0,42.0,50.0,41.0,60.0,55.0,64.0,57.0,41.0,56.0,40.0,42.0,50.0,41.0,60.0,55.0,64.0,57.0,41.0,64.0
10548,A. Panyukov,22,Russia,65,73,Zenit St. Petersburg,ST,59.0,38.0,41.0,61.0,52.0,59.0,43.0,38.0,52.0,41.0,61.0,59.0,64.0,60.0,46.0,59.0,43.0,38.0,52.0,41.0,61.0,59.0,64.0,60.0,46.0,64.0
10546,Aridane,30,Spain,65,65,Albacete Balompié,ST,54.0,43.0,41.0,58.0,49.0,54.0,38.0,43.0,49.0,41.0,58.0,50.0,64.0,52.0,38.0,54.0,38.0,43.0,49.0,41.0,58.0,50.0,64.0,52.0,38.0,64.0
10527,D. Milović,23,Montenegro,65,72,Amkar Perm,ST,57.0,48.0,45.0,60.0,52.0,57.0,43.0,48.0,52.0,45.0,60.0,55.0,64.0,56.0,43.0,57.0,43.0,48.0,52.0,45.0,60.0,55.0,64.0,56.0,43.0,64.0
10584,A. Schalk,24,Netherlands,65,70,Ross County FC,ST,62.0,42.0,44.0,65.0,55.0,62.0,47.0,42.0,55.0,44.0,65.0,62.0,64.0,64.0,49.0,62.0,47.0,42.0,55.0,44.0,65.0,62.0,64.0,64.0,49.0,64.0
10626,E. Markov,22,Russia,65,72,FC Tosno,ST,56.0,38.0,38.0,59.0,50.0,56.0,38.0,38.0,50.0,38.0,59.0,55.0,64.0,56.0,39.0,56.0,38.0,38.0,50.0,38.0,59.0,55.0,64.0,56.0,39.0,64.0
11578,A. Jones,22,England,64,70,Bradford City,ST,62.0,40.0,44.0,64.0,57.0,62.0,46.0,40.0,57.0,44.0,64.0,63.0,65.0,64.0,48.0,62.0,46.0,40.0,57.0,44.0,64.0,63.0,65.0,64.0,48.0,65.0
9637,J. Obika,26,England,66,67,Oxford United,ST,57.0,44.0,41.0,61.0,49.0,57.0,43.0,44.0,49.0,41.0,61.0,56.0,65.0,58.0,43.0,57.0,43.0,44.0,49.0,41.0,61.0,56.0,65.0,58.0,43.0,65.0
11801,M. Duke,26,Australia,64,64,Shimizu S-Pulse,ST,62.0,47.0,49.0,63.0,57.0,62.0,51.0,47.0,57.0,49.0,63.0,63.0,65.0,64.0,52.0,62.0,51.0,47.0,57.0,49.0,63.0,63.0,65.0,64.0,52.0,65.0
11817,E. Mjelde,33,Norway,64,64,Sandefjord Fotball,ST,63.0,60.0,60.0,64.0,62.0,63.0,61.0,60.0,62.0,60.0,64.0,64.0,65.0,64.0,62.0,63.0,61.0,60.0,62.0,60.0,64.0,64.0,65.0,64.0,62.0,65.0
9631,R. Feczesin,31,Hungary,66,66,Jeonnam Dragons,ST,62.0,49.0,50.0,63.0,58.0,62.0,51.0,49.0,58.0,50.0,63.0,63.0,65.0,64.0,53.0,62.0,51.0,49.0,58.0,50.0,63.0,63.0,65.0,64.0,53.0,65.0
9602,F. Boli,23,Ivory Coast,66,71,Stabæk Fotball,ST,59.0,38.0,39.0,62.0,51.0,59.0,40.0,38.0,51.0,39.0,62.0,59.0,65.0,61.0,41.0,59.0,40.0,38.0,51.0,39.0,62.0,59.0,65.0,61.0,41.0,65.0
9611,W. Owusu,27,Ghana,66,66,Royal Antwerp FC,ST,64.0,50.0,53.0,64.0,61.0,64.0,51.0,50.0,61.0,53.0,64.0,64.0,65.0,63.0,53.0,64.0,51.0,50.0,61.0,53.0,64.0,64.0,65.0,63.0,53.0,65.0
9610,J. Magennis,26,Northern Ireland,66,67,Charlton Athletic,ST,61.0,60.0,59.0,62.0,59.0,61.0,60.0,60.0,59.0,59.0,62.0,64.0,65.0,63.0,61.0,61.0,60.0,60.0,59.0,59.0,62.0,64.0,65.0,63.0,61.0,65.0
9595,R. Vloet,22,Netherlands,66,71,NAC Breda,ST,65.0,51.0,54.0,64.0,63.0,65.0,51.0,51.0,63.0,54.0,64.0,63.0,65.0,63.0,52.0,65.0,51.0,51.0,63.0,54.0,64.0,63.0,65.0,63.0,52.0,65.0
9579,R. Lentini,28,Argentina,66,66,Bahía Blanca,ST,64.0,43.0,48.0,65.0,59.0,64.0,48.0,43.0,59.0,48.0,65.0,64.0,65.0,65.0,50.0,64.0,48.0,43.0,59.0,48.0,65.0,64.0,65.0,65.0,50.0,65.0
9567,Ricardo Santos,30,Brazil,66,66,Cerezo Osaka,ST,58.0,48.0,47.0,60.0,54.0,58.0,46.0,48.0,54.0,47.0,60.0,57.0,65.0,58.0,46.0,58.0,46.0,48.0,54.0,47.0,60.0,57.0,65.0,58.0,46.0,65.0
9553,M. Ranégie,33,Sweden,66,66,BK Häcken,ST,60.0,45.0,47.0,63.0,58.0,60.0,43.0,45.0,58.0,47.0,63.0,59.0,65.0,59.0,45.0,60.0,43.0,45.0,58.0,47.0,63.0,59.0,65.0,59.0,45.0,65.0
9541,K. Tokura,31,Japan,66,66,Hokkaido Consadole Sapporo,ST,58.0,39.0,41.0,62.0,51.0,58.0,40.0,39.0,51.0,41.0,62.0,57.0,65.0,59.0,42.0,58.0,40.0,39.0,51.0,41.0,62.0,57.0,65.0,59.0,42.0,65.0
9660,T. Vion,23,France,66,72,Chamois Niortais FC,ST,60.0,41.0,42.0,63.0,53.0,60.0,40.0,41.0,53.0,42.0,63.0,57.0,65.0,59.0,41.0,60.0,40.0,41.0,53.0,42.0,63.0,57.0,65.0,59.0,41.0,65.0
9617,C. Monschein,24,Austria,66,70,FK Austria Wien,ST,61.0,33.0,36.0,64.0,51.0,61.0,38.0,33.0,51.0,36.0,64.0,59.0,65.0,62.0,40.0,61.0,38.0,33.0,51.0,36.0,64.0,59.0,65.0,62.0,40.0,65.0
9661,L. Sekulski,26,Poland,66,68,Jagiellonia Białystok,ST,58.0,41.0,40.0,62.0,49.0,58.0,43.0,41.0,49.0,40.0,62.0,58.0,65.0,60.0,44.0,58.0,43.0,41.0,49.0,40.0,62.0,58.0,65.0,60.0,44.0,65.0
9786,N. Trujic,25,Serbia,66,70,FC Tosno,ST,60.0,35.0,38.0,63.0,52.0,60.0,42.0,35.0,52.0,38.0,63.0,62.0,65.0,63.0,45.0,60.0,42.0,35.0,52.0,38.0,63.0,62.0,65.0,63.0,45.0,65.0
11180,D. Wheeler,26,England,64,65,Queens Park Rangers,ST,61.0,45.0,46.0,64.0,55.0,61.0,49.0,45.0,55.0,46.0,64.0,63.0,65.0,64.0,51.0,61.0,49.0,45.0,55.0,46.0,64.0,63.0,65.0,64.0,51.0,65.0
9968,N. Dumitru,25,Italy,65,65,AD Alcorcón,ST,62.0,43.0,46.0,64.0,56.0,62.0,49.0,43.0,56.0,46.0,64.0,63.0,65.0,65.0,51.0,62.0,49.0,43.0,56.0,46.0,64.0,63.0,65.0,65.0,51.0,65.0
9864,R. Cisneros,20,Mexico,66,79,Santos Laguna,ST,61.0,40.0,44.0,63.0,55.0,61.0,43.0,40.0,55.0,44.0,63.0,61.0,65.0,62.0,45.0,61.0,43.0,40.0,55.0,44.0,63.0,61.0,65.0,62.0,45.0,65.0
9850,Sergi Guardiola,26,Spain,66,69,Córdoba CF,ST,61.0,42.0,43.0,63.0,54.0,61.0,41.0,42.0,54.0,43.0,63.0,59.0,65.0,61.0,43.0,61.0,41.0,42.0,54.0,43.0,63.0,59.0,65.0,61.0,43.0,65.0
10901,A. Piu,20,Italy,64,75,Empoli,ST,66.0,36.0,43.0,66.0,59.0,66.0,40.0,36.0,59.0,43.0,66.0,63.0,65.0,64.0,43.0,66.0,40.0,36.0,59.0,43.0,66.0,63.0,65.0,64.0,43.0,65.0
10923,M. Bakenga,24,Norway,64,67,Tromsø IL,ST,61.0,42.0,46.0,63.0,55.0,61.0,48.0,42.0,55.0,46.0,63.0,63.0,65.0,64.0,50.0,61.0,48.0,42.0,55.0,46.0,63.0,63.0,65.0,64.0,50.0,65.0
9833,M. Fortuné,35,France,66,66,Southend United,ST,62.0,44.0,47.0,63.0,58.0,62.0,45.0,44.0,58.0,47.0,63.0,62.0,65.0,63.0,48.0,62.0,45.0,44.0,58.0,47.0,63.0,62.0,65.0,63.0,48.0,65.0
9815,T. Gabuza,29,South Africa,66,66,Orlando Pirates,ST,59.0,47.0,46.0,62.0,52.0,59.0,46.0,47.0,52.0,46.0,62.0,60.0,65.0,62.0,49.0,59.0,46.0,47.0,52.0,46.0,62.0,60.0,65.0,62.0,49.0,65.0
9812,Luisinho,26,Brazil,66,67,Al Faisaly,ST,65.0,36.0,43.0,66.0,58.0,65.0,41.0,36.0,58.0,43.0,66.0,65.0,65.0,66.0,45.0,65.0,41.0,36.0,58.0,43.0,66.0,65.0,65.0,66.0,45.0,65.0
